"","data","model","execFolder","round","value"
"81","X0569_4222341.csv","MultiHit","exec_13",8,-517692.828795391
"82","X0662_12141.csv","MixNB","exec_3",0,-1575941.50772972
"83","X0662_12141.csv","MixNB","exec_3",1,-1197351.16097317
"84","X0662_12141.csv","MixNB","exec_3",2,-953026.739101896
"85","X0662_12141.csv","MixNB","exec_3",3,-817091.445726545
"86","X0662_12141.csv","MixNB","exec_3",4,-784421.936782982
"87","X0662_12141.csv","MixNB","exec_3",5,-781462.584490792
"88","X0662_12141.csv","MixNB","exec_3",6,-781282.263371081
"89","X0662_12141.csv","MixNB","exec_3",7,-781231.631958645
"90","X0662_12141.csv","MixNB","exec_3",8,-780934.955543285
"91","X0028_121D132312331.csv","MixNB","exec_4",0,-8.01603206412826e+97
"92","X0028_121D132312331.csv","MixNB","exec_4",1,-2.85602081524226e+97
"93","X0028_121D132312331.csv","MixNB","exec_4",2,-6.22755013315944e+96
"94","X0028_121D132312331.csv","MixNB","exec_4",3,-4.95090404412109e+96
"95","X0028_121D132312331.csv","MixNB","exec_4",4,-3.34636087309066e+95
"96","X0028_121D132312331.csv","MixNB","exec_4",5,-335192.212942574
"97","X0028_121D132312331.csv","MixNB","exec_4",6,-8.16914353217046e+93
"98","X0028_121D132312331.csv","MixNB","exec_4",7,-1.47036038391438e+93
"99","X0028_121D132312331.csv","MixNB","exec_4",8,-333357.682514143
"100","X0804_3181.csv","MultiHit","exec_8",0,-1.80360721442886e+98
"101","X0804_3181.csv","MultiHit","exec_8",1,-5.42067174454543e+97
"102","X0804_3181.csv","MultiHit","exec_8",2,-2.99083007887871e+97
"103","X0804_3181.csv","MultiHit","exec_8",3,-3.04982532305241e+96
"104","X0804_3181.csv","MultiHit","exec_8",4,-2.4816248847104e+95
"105","X0804_3181.csv","MultiHit","exec_8",5,-7.07660832250602e+94
"106","X0804_3181.csv","MultiHit","exec_8",6,-38121.0940623533
"107","X0804_3181.csv","MultiHit","exec_8",7,-38123.6260682528
"108","X0804_3181.csv","MultiHit","exec_8",8,-38119.9020070205
"109","X0028_121D132312331.csv","MultiHit","exec_14",0,-1.40280561122244e+98
"110","X0028_121D132312331.csv","MultiHit","exec_14",1,-4.2568548740744e+97
"111","X0028_121D132312331.csv","MultiHit","exec_14",2,-6.26024216973539e+96
"112","X0028_121D132312331.csv","MultiHit","exec_14",3,-1.64780068565428e+96
"113","X0028_121D132312331.csv","MultiHit","exec_14",4,-327440.441929451
"114","X0028_121D132312331.csv","MultiHit","exec_14",5,-325817.996174537
"115","X0028_121D132312331.csv","MultiHit","exec_14",6,-325577.535425047
"116","X0028_121D132312331.csv","MultiHit","exec_14",7,-325582.370288543
"117","X0028_121D132312331.csv","MultiHit","exec_14",8,-325535.094777072
"118","X0013_151.csv","MultiHit","exec_11",0,-1461341.14583857
"119","X0013_151.csv","MultiHit","exec_11",1,-903132.830528548
"120","X0013_151.csv","MultiHit","exec_11",2,-643865.78871699
"121","X0013_151.csv","MultiHit","exec_11",3,-477985.091763044
"122","X0013_151.csv","MultiHit","exec_11",4,-465125.616237793
"123","X0013_151.csv","MultiHit","exec_11",5,-463914.822064937
"124","X0013_151.csv","MultiHit","exec_11",6,-463738.01961103
"125","X0013_151.csv","MultiHit","exec_11",7,-463674.542018192
"126","X0013_151.csv","MultiHit","exec_11",8,-463625.041970954
