"","model","dataset","priorHyperParameter","execFolder","sgrna","gene","logRatioLeftBound","logRatioRightBound","logRatio"
"35","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",35,"AKT1",-2.22447211229104,1.12342377023318,-0.369624940215767
"36","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",36,"AKT1",-3.24788785651974,-0.624776117866893,-1.85627313896388
"37","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",37,"AKT2",-3.27339777272094,-0.829936379489243,-1.95664735252435
"38","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",38,"AKT2",-3.32230612528709,-0.408208529821641,-1.82337020850128
"39","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",39,"AKT2",-2.82726147820232,1.02305998524199,-0.742989514962756
"40","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",40,"AKT3",-3.10537082163533,-0.73832068553987,-1.83957171410359
"41","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",41,"AKT3",-3.2755393949463,-0.769326756821793,-1.93947668020572
"42","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",42,"AKT3",-2.75811659381543,-0.169765664011458,-1.31808141143373
"43","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",43,"PLK1",-0.256552736384001,2.50230161975277,1.56386304110856
"44","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",44,"PLK1",-3.50037208304282,0.379475946305037,-1.55176346766583
"45","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",45,"PLK1",-2.30280120816016,1.33779140489663,-0.256498316273392
"46","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",46,"PLK4",-1.37270616469847,1.79942799187473,0.569319802782547
"47","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",47,"PLK4",-1.3674096575656,2.14153476121376,0.734361891871016
"48","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",48,"PLK4",-2.81141725806002,0.0293984254160447,-1.27184130790069
"49","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",49,"EGFR",-2.15603366084421,1.48538237150873,-0.264907673417261
"50","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",50,"EGFR",0.115610078346549,2.66496320568857,1.59619672598757
"51","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",51,"EGFR",-2.28158144907368,1.23045070471745,-0.402468450832994
"52","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",52,"ERBB2",-3.84108180645008,-1.28381249710031,-2.52260277709474
"53","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",53,"ERBB2",-3.43530319359631,-0.319919819133564,-1.91137950700549
"54","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",54,"ERBB2",-2.32391097544435,1.68344440499096,-0.255286866255795
"55","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",55,"ESR1",-2.86838054995717,0.180567876712984,-1.36078811153046
"56","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",56,"ESR1",-2.32091460181845,0.915809096627745,-0.567383411082614
"57","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",57,"ESR1",-2.24300126154514,1.58367888495083,-0.089609059871786
"58","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",58,"SMO",-3.67741896733329,-0.674144475338797,-2.06041323797338
"59","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",59,"SMO",-3.1664695128044,-0.691798443409608,-1.82239127463438
"60","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",60,"SMO",-1.87981037868067,1.65547363361164,0.155078222805542
"61","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",61,"LEF1",-2.74659762780586,1.44078902873943,-0.450744678718314
"62","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",62,"LEF1",-1.4244559878303,2.92864810467089,0.868688933882866
"63","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",63,"LEF1",-3.41794823499692,-0.207975364849436,-1.7884197622862
"64","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",64,"APH1A",-1.36579441631033,1.96523698596063,0.653792139258307
"65","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",65,"APH1A",-3.4264054083076,-0.649196753547018,-1.94118687559413
"66","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",66,"APH1A",-1.6498700270929,1.89401154027852,0.390201082138632
"67","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",67,"ERBB3",-3.55626991736629,-0.356833663848633,-1.9071517646465
